Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_q_loss,Q_loss,Pi_l2_loss,Success
2/20,1/20,2100,210000,183.3279049396515,3851.0364062786102,412.92787504196167,118.24225867539644,0.0
2/20,2/20,2150,215000,183.28877091407776,3923.80752658844,422.4189031124115,116.97284980118275,0.0
2/20,3/20,2200,220000,184.33658075332642,4000.255085706711,438.1469254568219,118.93098959326744,0.0
2/20,4/20,2250,225000,185.85637259483337,4067.1873495578766,430.77801282703876,120.3256759122014,0.0
2/20,5/20,2300,230000,182.57808470726013,4120.594516992569,427.63526324927807,123.1850959584117,0.0
2/20,6/20,2350,235000,188.2567412853241,4188.618960857391,437.14073936641216,125.44236053526402,0.0
2/20,7/20,2400,240000,188.4354932308197,4225.276267051697,427.345651358366,126.9466283917427,0.0
2/20,8/20,2450,245000,183.09604001045227,4242.833307981491,437.7427579462528,125.60388115048409,0.0
2/20,9/20,2500,250000,181.36298608779907,4311.214006185532,441.9926557093859,126.87901075929403,0.0
2/20,10/20,2550,255000,179.68847393989563,4306.918262004852,428.01727019250393,128.23459461331367,0.0
2/20,11/20,2600,260000,180.4827926158905,4325.747771263123,407.8537217080593,128.19489796459675,0.0
2/20,12/20,2650,265000,178.38612961769104,4340.212556362152,397.7726491987705,128.83001385629177,0.0
2/20,13/20,2700,270000,177.8587188720703,4394.197167158127,386.3613672554493,127.74148612469435,0.0
2/20,14/20,2750,275000,175.06552171707153,4406.984157800674,395.2623404711485,131.92770309746265,0.0
2/20,15/20,2800,280000,179.1808648109436,4451.7875056266785,403.8957919180393,132.28033782541752,0.0
2/20,16/20,2850,285000,175.4910068511963,4479.620984792709,391.69873228669167,133.63378371298313,0.01
2/20,17/20,2900,290000,178.95566630363464,4480.915264606476,392.4861752688885,133.08615628629923,0.0
2/20,18/20,2950,295000,176.52480292320251,4555.545541524887,385.67816722393036,132.06346990168095,0.0
2/20,19/20,3000,300000,177.78948736190796,4616.012598514557,383.5843976140022,134.46662370860577,0.01
3/20,0/20,3050,305000,178.75097727775574,4632.264390468597,368.66798825562,136.72157429903746,0.0
3/20,1/20,3100,310000,178.89889764785767,4636.139732837677,342.49601213634014,133.23761393874884,0.0
3/20,2/20,3150,315000,181.10473489761353,4739.891914606094,348.34573934972286,134.41397899389267,0.0
3/20,3/20,3200,320000,179.81022191047668,4748.163456201553,345.4229088500142,136.92125885933638,0.0
3/20,4/20,3250,325000,178.23498797416687,4784.007118940353,321.77174101769924,139.0234475955367,0.02
3/20,5/20,3300,330000,179.09982919692993,4815.807570695877,329.7336103320122,141.14904215186834,0.03
3/20,6/20,3350,335000,179.95687794685364,4847.907258987427,318.685899451375,141.43639987707138,0.0
